merchant,description,category
CVS PHARMACY #5022 $1022.84 Treatment,,Healthcare
UNIVERSITY TUITION $452.18 Study guide,,Education
ParkWhiz,,Transport
METRO TRANSIT $247.87,,Transport
Deductible payment,Pharmacy,Healthcare
Wine Shop,déjeuner,Food & Drink
Gas Station,Fuel,Transport
Chipotle Mexican Grill,,Food & Drink
Laundromat,ATM,Other
UDEMY COURSE $1222.33 Tuition fee,,Education
Avis,Cab fare,Transport
Oil Change,Checked bag,Transport
American Home Shield,,Housing
Bank Fee,otros,Other
UNITED AIRLINES $50.73,,Transport
UBER EATS *Jack in the Box PURCHASE,,Food & Drink
Greyhound,Train ticket,Transport
KAISER PERMANENTE $1393.60,,Healthcare
Nanny,Kennel,Other
Retail Store,sonstiges,Other
Fitness Class,Meditation app,Entertainment
Sweetgreen,Latte,Food & Drink
Thai Basil,Counter service,Food & Drink
Brilliant,Textbook,Education
Cathay Pacific,Round trip,Transport
Auto Insurance,,Bills & Utilities
Family plan,Processing fee,Bills & Utilities
CHEGG STUDY $1739.18 Loan payment,,Education
Trainline,Inspection,Transport
LIVE NATION $142.89,,Entertainment
PAYPAL TRANSFER $8168.40,,Income
CHEGG STUDY $923.50 English class,,Education
Box,订阅,Bills & Utilities
VENMO CASHOUT $4266.21,,Income
Airbnb,Rebate check,Income
Town Hall,अन्य,Other
SKILLSHARE $898.57,,Education
Apartment,رهن عقاري,Housing
Parking,Consultation,Other
Imaging Center,dentiste,Healthcare
Game Ticket,Meditation app,Entertainment
STATE FARM INS $101.88,,Bills & Utilities
Amazon Locker,Filing fee,Other
DoorDash Order,Buffet,Food & Drink
Spin,Gas fill-up,Transport
MEDICAL CENTER $984.67 Pet medication,,Healthcare
Bond Maturity,Airbnb income,Income
BJ's Wholesale,Online shopping,Shopping
CVS PHARMACY #7149 $527.06 Root canal,,Healthcare
Personal Trainer,musik,Entertainment
Buffalo Wild Wings,Cake,Food & Drink
Etsy,Crowdfunding,Income
Paychex,급여,Income
Pottery Barn,Clothes,Shopping
GMAT Prep,本,Education
Wine Shop,Morning coffee,Food & Drink
Auto Insurance,Wireless service,Bills & Utilities
STATE FARM INS $217.41,,Bills & Utilities
Tax Return,Refund,Income
Funimation,Rental,Entertainment
Retail Store,Charity,Other
Direct Deposit,Stock dividend,Income
BJ's Wholesale,服装,Shopping
BP Pulse,交通,Transport
Auto Repair,avião,Transport
Yard Sale,erstattung,Income
TaskRabbit,Maid service,Housing
Painting,Repair,Housing
Ride Share,Vehicle lease,Transport
COMCAST CABLE $197.21,,Bills & Utilities
PLURALSIGHT $324.78 Tuition payment,,Education
LOWES #2253 $1837.22,,Housing
WAL-MART SUPERCENTER #1870,,Shopping
MEDICAL CENTER $504.20 Medical,,Healthcare
CHEGG STUDY $1754.09 Learning,,Education
HOME DEPOT.COM $1446.56 Lease payment,,Housing
Dairy Queen,nourriture,Food & Drink
Live Nation,,Entertainment
Walgreens,Crown,Healthcare
APPLE STORE PURCHASE $451.67 Wedding gift,,Shopping
BP,поездка,Transport
GCP Training,Art class,Education
Tire Shop,Bus fare,Transport
Dance Classes,Online learning,Education
FutureLearn,SAT prep,Education
VRBO,Lawn mowing,Housing
FlixBus,비행기,Transport
UBER *TRIP $616.66 Bus fare,,Transport
Etsy,Apparel,Shopping
WESTERN UNION $40.57 Damage payment,,Other
Toll,One way,Transport
Rebate,Patent income,Income
Bass Pro Shops,Kitchenware,Shopping
HOME DEPOT.COM $1270.98,,Housing
Dance Classes,大学,Education
WALGREENS #7237 $156.30,,Healthcare
CVS Pharmacy,Prescription,Healthcare
Adobe Creative Cloud,فواتير,Bills & Utilities
UBER EATS *Texas Roadhouse PURCHASE,,Food & Drink
Wagamama,Morning coffee,Food & Drink
SCHOOL PAYMENT $195.91,,Education
Guitar Lessons,Enrollment,Education
Bank Fee,Gift card purchase,Other
LIVE NATION $117.77 Spa treatment,,Entertainment
Vision Center,Eye exam,Healthcare
ATM WITHDRAWAL FEE Uncategorized,,Other
Con Edison,Wireless service,Bills & Utilities
TNT,General expense,Other
D&D Session,,Entertainment
Auto Insurance,Parking fee,Transport
METRO TRANSIT $625.79,,Transport
RENT PAYMENT $2646.75 Maintenance,,Housing
Costco,Iced Coffee,Food & Drink
MEDICAL CENTER $1100.57,,Healthcare
CVS PHARMACY #2073 $1333.20,,Healthcare
Aldi STORE #9478 PURCHASE,,Food & Drink
Applebee's SUBSCRIPTION RENEWAL Counter service,,Food & Drink
Xbox Game Pass,Family plan,Entertainment
Hack Reactor,Spanish class,Education
Ride Share,Monthly transit,Transport
Subway STORE #1126 PURCHASE,,Food & Drink
Spotify,Mobile plan,Bills & Utilities
Gratuity,salário,Income
MORTGAGE PAYMENT $1608.26,,Housing
NETFLIX.COM $137.66,,Entertainment
Walmart Pharmacy,Wellness visit,Healthcare
PLAYSTATION STORE $102.05 Museum visit,,Entertainment
METRO TRANSIT $183.84 Tire rotation,,Transport
Dog Walking,Scanning,Other
FEDEx SHIPPING $184.03,,Other
LOWES #2932 $2197.74,,Housing
Storage Unit,Tax payment,Housing
HOA DUES $2938.02 Airbnb stay,,Housing
KAISER PERMANENTE $909.07 Glasses,,Healthcare
Direct Energy,Utility bill,Bills & Utilities
PROPERTY TAX $1301.64,,Housing
PlayStation Store,게임,Entertainment
UBER *TRIP $378.65,,Transport
Central Computer,Headphones,Shopping
Nando's,Holiday dinner,Food & Drink
Car Wash,Highway toll,Transport
Tailor,Daycare,Other
Binance,Stock dividend,Income
KAISER PERMANENTE $319.27,,Healthcare
Chegg,Student fee,Education
Red Cross,Laundry,Other
Deutsche Bahn,비행기,Transport
Burlington,,Shopping
Best Buy,إلكترونيات,Shopping
Emirates,voyage,Transport
Government,,Other
ONLINE PURCHASE Deli.COM Brunch,,Food & Drink
PLURALSIGHT $759.48,,Education
VENMO CASHOUT $3191.46,,Income
Udemy,Online course,Education
Bolt,Charging,Transport
Rewards,remboursement,Income
Bob Evans,Taco,Food & Drink
Lawn Care,,Housing
AUTOPAY VERIZON WIRELESS $300.91 Annual premium,,Bills & Utilities
Veterinarian,Pet medication,Healthcare
DEBIT PURCHASE Marketplace Order,,Shopping
State Tax Refund,Tax refund,Income
WESTERN UNION $12.96 Dry cleaning,,Other
Goethe Institut,Annual plan,Education
Redfin,Contractor,Housing
Community College,Certification,Education
Dividend Payment,Rental income,Income
Reebok,Accessories,Shopping
FedEx Office,Contribution,Other
WALGREENS #1500 $364.46,,Healthcare
ONLINE ORDER Newegg,,Shopping
Dividend Payment,devolución,Income
LYFT RIDES $561.48 Lyft,,Transport
Book Store,schule,Education
STEAM PURCHASE $21.34,,Entertainment
Peet's Coffee,ресторан,Food & Drink
AWS Training,Data science course,Education
Wendy's,,Food & Drink
Medical bill,Flu shot,Healthcare
Best Buy,School supplies,Shopping
Angi,Home insurance,Housing
Deutsche Bahn,Parking fee,Transport
PHARMACY PURCHASE $1201.27,,Healthcare
WAL-MART SUPERCENTER #7333 Printer,,Shopping
DELTA AIR LINES $429.08,,Transport
BANK FEE $109.95 Prepaid load,,Other
STATE FARM INS $105.99,,Bills & Utilities
Disney+,Convenience fee,Bills & Utilities
DIRECT DEPOSIT PAYROLL $8589.33,,Income
VENMO CASHOUT $295.12 Claim settlement,,Income
Surgery,صيدلية,Healthcare
SCHOOL PAYMENT $1351.06,,Education
Skillsoft,universidad,Education
Omio,,Transport
MORTGAGE PAYMENT $2971.58,,Housing
Employer Inc.,Investment return,Income
Boohoo,Coat,Shopping
Health insurance copay,薬局,Healthcare
CPA,misceláneos,Other
Craigslist Housing,miete,Housing
ATM WITHDRAWAL FEE Laundry,,Other
Hobby Lobby,Gloves,Shopping
Car Rental,燃料,Transport
ATM WITHDRAWAL FEE ATM,,Other
Public Storage,Remodel,Housing
HOSPITAL BILL $1075.30 Vitamins,,Healthcare
Dermatologist,hôpital,Healthcare
USPS POSTAGE $65.59,,Other
AMAZON.COM PURCHASE $101.59,,Shopping
UNITED AIRLINES $379.19,,Transport
Ace Hardware,Repair supplies,Housing
HOME DEPOT.COM $853.25 Deep clean,,Housing
SCHOOL PAYMENT $1604.27,,Education
PG&E ELECTRIC $122.40,,Bills & Utilities
Carl's Jr.,,Food & Drink
Pluralsight,,Education
DIVIDEND RENT $5191.04,,Income
Instituto Cervantes,Lifetime access,Education
Art School,,Education
HOME DEPOT #6138 $1397.32,,Housing
NETFLIX.COM $110.61 Meditation app,,Entertainment
Wingstop,Groceries,Food & Drink
Lease Payment,Bus fare,Transport
SHELL OIL SYDNEY #4708,,Transport
DMV,разное,Other
Comixology,Season pass,Entertainment
Certification Program,Certificate program,Education
APPLE STORE PURCHASE $125.35,,Shopping
Baskin-Robbins,café,Food & Drink
SKILLSHARE $741.82 Martial arts,,Education
DEBIT PURCHASE TJ Maxx,,Shopping
DIVIDEND REBA $8519.31 Licensing,,Income
USPS,Other expense,Other
LOWES #3656 $2918.48 Moving,,Housing
Costco SUBSCRIPTION RENEWAL Weekend brunch,,Food & Drink
Target,Garden supplies,Shopping
PLAYSTATION STORE $196.97 Pay-per-view,,Entertainment
PLAYSTATION STORE $167.91 Rental,,Entertainment
BEST BUY #5449 CHICAGO,,Shopping
GOVERNMENT PAYMENT $5.54 Other,,Other
IRS,доход,Income
UNITED AIRLINES $105.12,,Transport
Spectrum,Annual premium,Bills & Utilities
USPS,Unknown,Other
Lenovo,,Shopping
CHEGG STUDY $578.66,,Education
XBOX LIVE $162.52,,Entertainment
Squarespace,зарплата,Income
Side Gig,devolución,Income
Alliance Française,,Education
PLURALSIGHT $322.15,,Education
STEAM PURCHASE $148.01,,Entertainment
Robinhood,返金,Income
XBOX LIVE $119.67,,Entertainment
PLURALSIGHT $1094.36,,Education
Fiverr,Royalties,Income
Bass Pro Shops,電子機器,Shopping
Medicine,,Healthcare
PLURALSIGHT $1026.43 Martial arts,,Education
Coffee Shop,Ramen,Food & Drink
West End,Fair,Entertainment
Lufthansa,,Transport
Goethe Institut,Student fee,Education
Donation,Copying,Other
LensCrafters,dentista,Healthcare
Applebee's,,Food & Drink
UNIVERSITY TUITION $238.42,,Education
SCHOOL PAYMENT $38.56,,Education
Rent Payment,Monthly rent,Housing
UBER EATS *Noodle Shop PURCHASE Date night,,Food & Drink
NIKE.COM ORDER PURCHASE Books,,Shopping
Landscaping,Electrician,Housing
Burlington,घर,Shopping
COMCAST CABLE $48.87 Service fee,,Bills & Utilities
Lowe's,Home improvement,Shopping
BEST BUY #9093 PARIS Hiking,,Shopping
QUEST DIAGNOSTICS $1282.54,,Healthcare
HOME DEPOT.COM $2454.96 Smart home,,Housing
T-MOBILE AUTOPAY $125.41 Software subscription,,Bills & Utilities
Freelance Payment,Consulting,Income
PARKING TOKYO $762.41,,Transport
Crutches,Pet vet visit,Healthcare
Fiverr,Gig payment,Income
METRO TRANSIT $91.94,,Transport
TARGET T-2311 PURCHASE Sunglasses,,Shopping
AWS Training,Grant,Education
Property Tax,Internet,Bills & Utilities
ONLINE ORDER Hobby Lobby,,Shopping
E-commerce Purchase,Jewelry,Shopping
Surgery,병원,Healthcare
MAINTENANCE TaskRabbit $1218.94 Storage,,Housing
Live Nation,Bowling night,Entertainment
Tax Preparer,Other expense,Other
TJX,ملابس,Shopping
ASUS,,Shopping
FEDEx SHIPPING $116.82,,Other
AMC Theatres,エンターテイメント,Entertainment
Zipcar,,Transport
Gojek,Parking fee,Transport
UBER EATS *Pret A Manger PURCHASE Snack,,Food & Drink
COMCAST CABLE $205.74,,Bills & Utilities
AAA,交通,Transport
BOOK STORE $1107.69,,Education
Saks Fifth Avenue,,Shopping
Wendy's,कॉफी,Food & Drink
FEDEx SHIPPING $90.38 Stamp,,Other
Instituto Cervantes,,Education
MEDICAL CENTER $1023.27,,Healthcare
Electric Bill,Late fee,Bills & Utilities
CPA,vários,Other
Dermatologist,Extraction,Healthcare
DEBIT CARD PURCHASE Panda Express,,Food & Drink
SPOTIFY USA $125.91,,Entertainment
EXXON MOBIL #4191 EV charging,,Transport
NETFLIX.COM $172.87,,Entertainment
UBER *TRIP $506.13,,Transport
BEST BUY #1366 BERLIN Keyboard,,Shopping
Singapore Airlines,combustível,Transport
Smoothie King,Soda,Food & Drink
EXXON MOBIL #4388 Gas,,Transport
QUEST DIAGNOSTICS $754.41,,Healthcare
SKILLSHARE $941.82,,Education
UPS SHIPPING $146.06,,Other
CVS,Baby items,Shopping
BEST BUY #1345 TOKYO,,Shopping
GEICO PAYMENT $183.26 Monitoring fee,,Bills & Utilities
MORTGAGE PAYMENT $1550.67,,Housing
PAYPAL TRANSFER $3156.43,,Income
DEBIT CARD PURCHASE El Pollo Loco,,Food & Drink
MISC PURCHASE $105.22 Laundry,,Other
Princeton Review,コース,Education
Jump Start,viagem,Transport
CreativeLive,,Education
VENMO CASHOUT $2968.72 Freelance work,,Income
IRS,,Income
MISC PURCHASE $172.85,,Other
Direct Deposit,Dividend payment,Income
First Aid,Psychiatry,Healthcare
BEST BUY #7225 DUBAI,,Shopping
Hulu,Security system,Bills & Utilities
Republic Services,autopay,Bills & Utilities
SPOTIFY USA $20.13 Live show,,Entertainment
Pet Store,Copying,Other
Museum,Podcast,Entertainment
Interest Payment,Gig economy,Income
Remittance,Gift card purchase,Other
FEDEx SHIPPING $59.41,,Other
PURCHASE AUTHORIZED Qdoba $9.39 Water,,Food & Drink
PHARMACY PURCHASE $858.86,,Healthcare
Art School,Test preparation,Education
Trainline,Parking weekly,Transport
YouTube Premium,Monthly fee,Bills & Utilities
Squarespace,Overtime,Income
Butcher Shop,Burrito,Food & Drink
UDEMY COURSE $1336.53 Data science course,,Education
Cabela's,Slippers,Shopping
Intellectual Property,Side hustle,Income
Netflix,保険,Bills & Utilities
DMV,Scanning,Other
Sephora,Kitchenware,Shopping
UPS SHIPPING $20.97 Wire,,Other
STATE TREASURY REFUND Paycheck,,Income
Hertz,Parking weekly,Transport
Five Guys,Dinner,Food & Drink
TICKETMASTER $84.12,,Entertainment
USPS,Donation,Other
Severance,Stock dividend,Income
Box,factures,Bills & Utilities
UPS SHIPPING $165.84,,Other
PG&E ELECTRIC $198.20,,Bills & Utilities
Azure Certification,Certificate program,Education
AUTOPAY VERIZON WIRELESS $246.64 Auto-pay,,Bills & Utilities
Bond Maturity,revenu,Income
UBER *TRIP $232.13 Brake pads,,Transport
Golden Corral,almuerzo,Food & Drink
Prada,электроника,Shopping
Interest Payment,Monthly salary,Income
Garage Sale,Part-time work,Income
Gratuity,Gift card redemption,Income
ONLINE PURCHASE Ramen Ichiran.COM Catering order,,Food & Drink
Vitamins,zahnarzt,Healthcare
Museum,,Entertainment
In-N-Out Burger,,Food & Drink
Nanny,,Other
ACH CREDIT Investment Interest payment,,Income
Krispy Kreme,ランチ,Food & Drink
HOA DUES $1638.01,,Housing
Nordstrom,Birthday gift,Shopping
Kroger,Dessert,Food & Drink
PLAYSTATION STORE $68.63 Music streaming,,Entertainment
SPOTIFY USA $35.31,,Entertainment
Metro Card,,Transport
Vitamins,,Healthcare
Comcast,,Bills & Utilities
YouTube TV,Concert,Entertainment
Nightclub,Streaming subscription,Entertainment
AMAZON.COM PURCHASE $375.05,,Shopping
Language School,Cooking class,Education
CARD 5907 PURCHASE Curry House Morning coffee,,Food & Drink
Toptal,Gift card redemption,Income
KAISER PERMANENTE $1340.89,,Healthcare
MAINTENANCE Molly Maid $943.97,,Housing
PLURALSIGHT $423.99,,Education
Outback,Late night snack,Food & Drink
Bolt,Express lane,Transport
Junk Removal,Security,Housing
Family plan,請求書,Bills & Utilities
BOOK STORE $1904.17,,Education
Tidal,संगीत,Entertainment
Deezer,Documentary,Entertainment
Kaiser Permanente,医院,Healthcare
Cava,Seafood,Food & Drink
Bolt,самолет,Transport
CPA,Postage,Other
Physical Therapy,Vaccination,Healthcare
Wayfair,,Shopping
Rental Car,Airline ticket,Transport
Golden Corral,,Food & Drink
IRS TREAS 310 TAX REF Stock dividend,,Income
WAL-MART SUPERCENTER #5784,,Shopping
Plumbing,किराया,Housing
HOME DEPOT.COM $2867.34,,Housing
Wire Transfer Fee,,Other
Realtor.com,ремонт,Housing
DEBIT PURCHASE Reebok,,Shopping
RECURRING PAYMENT Netflix Finance charge,,Bills & Utilities
SHELL OIL BERLIN #9488 Daily commute,,Transport
SeatGeek,,Entertainment
UDEMY COURSE $1954.40,,Education
RENT PAYMENT $741.76 Maid service,,Housing
Tire Shop,Gas fill-up,Transport
DIVIDEND UPWO $5582.17,,Income
Continuing Education,Study material,Education
Dentist,Urgent care,Healthcare
HOSPITAL BILL $164.47 Dental checkup,,Healthcare
XBOX LIVE $55.43,,Entertainment
GCP Training,Registration fee,Education
Carpool,combustível,Transport
Toptal,Patent income,Income
Crutches,больница,Healthcare
GoFundMe,Prepaid load,Other
National Car Rental,Parking fee,Transport
TICKETMASTER $199.25,,Entertainment
EXXON MOBIL #6103 Monthly transit,,Transport
Alimony,коммунальные,Bills & Utilities
Building Maintenance,,Housing
CARD 8330 PURCHASE Whole Foods Ramen,,Food & Drink
Lowe's,casa,Shopping
Guitar Lessons,Data science course,Education
SCHOOL PAYMENT $1546.03 Swimming lesson,,Education
UNIVERSITY TUITION $1572.97,,Education
ACH CREDIT Garage Sale Gift card redemption,,Income
Cox Communications,Interest charge,Bills & Utilities
HOSPITAL BILL $1219.21 Filling,,Healthcare
Toll,نقل,Transport
Tutor,éducation,Education
Termite Treatment,Vacation rental,Housing
SKILLSHARE $312.93 Lifetime access,,Education
CHEGG STUDY $1706.00,,Education
Plumbing,Plumber,Housing
Continuing Education,Learning,Education
Taco Stand SUBSCRIPTION RENEWAL,,Food & Drink
Side Gig,راتب,Income
METRO TRANSIT $756.69,,Transport
DENTAL ASSOCIATES $740.08 Wellness visit,,Healthcare
Aldi,Weekend brunch,Food & Drink
Airbnb,Airbnb income,Income
KFC SUBSCRIPTION RENEWAL Taco,,Food & Drink
AMC THEATRES SAO PAULO $102.27,,Entertainment
TJX,Digital purchase,Shopping
JioMart,电子产品,Shopping
Shell Recharge,燃料,Transport
GOVERNMENT PAYMENT $14.33 Prepaid load,,Other
PLAYSTATION STORE $90.99 Fitness class,,Entertainment
Lawn Care,Packing,Housing
BEST BUY #8960 HOUSTON Ring,,Shopping
UPS SHIPPING $5.35 Monthly subscription,,Other
Outback,comida,Food & Drink
Ashley Furniture,Gloves,Shopping
Chick-fil-A,食事,Food & Drink
Pet Emergency,,Healthcare
Alamo,Detailing,Transport
National Car Rental,,Transport
PARKING SAO PAULO $549.16 Round trip,,Transport
TXU Energy,Security system,Bills & Utilities
Boohoo,Birthday gift,Shopping
BOOK STORE $124.59 Online course,,Education
Sainsbury's STORE #7137 PURCHASE,,Food & Drink
PROPERTY TAX $2327.40,,Housing
Cash Back,Capital gains,Income
Red Cross,,Other
PAYPAL TRANSFER $7463.79,,Income
Optometrist,医疗,Healthcare
Apprenticeship,पुस्तकें,Education
CVS PHARMACY #9647 $815.58,,Healthcare
DEBIT CARD PURCHASE Papa Murphy's Alcohol,,Food & Drink
HomeAdvisor,,Housing
DOORDASH *Domino's PURCHASE Bowl,,Food & Drink
PARKING CHICAGO $27.26,,Transport
Town Hall,一般,Other
Freelancer.com,Freelance payment,Income
Museum,streaming,Entertainment
Target,Home decor,Shopping
QUEST DIAGNOSTICS $894.56 Follow-up,,Healthcare
SCHOOL PAYMENT $864.70 Art class,,Education
Mattress Store,Plumber,Housing
USPS,Boarding,Other
Whole Foods,,Food & Drink
Zalando,Charger,Shopping
SPOTIFY USA $5.71,,Entertainment
APPLE STORE PURCHASE $490.58,,Shopping
Drone,영화,Entertainment
Apple Music,Live show,Entertainment
APPLE STORE PURCHASE $442.08,,Shopping
United Way,,Other
State Farm,Electric bill,Bills & Utilities
WAL-MART SUPERCENTER #4007,,Shopping
NETFLIX.COM $95.17,,Entertainment
Cash App,remboursement,Income
Progressive,बीमा,Bills & Utilities
Nintendo eShop,Comedy show,Entertainment
CARD 1243 PURCHASE El Pollo Loco,,Food & Drink
App Academy,Tech course,Education
PARKING TOKYO $376.01,,Transport
QUEST DIAGNOSTICS $1098.82 Retainer,,Healthcare
T-MOBILE AUTOPAY $99.24 Recurring charge,,Bills & Utilities
WAL-MART SUPERCENTER #3732 Microtransaction,,Shopping
Fry's Electronics,दुकान,Shopping
AMAZON.COM PURCHASE $207.93,,Shopping
Little Caesars,Cappuccino,Food & Drink
LOWES #2568 $2491.40 Lease payment,,Housing
POS PURCHASE Curry House LOS ANGELES Lunch,,Food & Drink
Attorney,,Other
Frontier Communications,Interest charge,Bills & Utilities
Pizza Place,Late night snack,Food & Drink
Sainsbury's,Tea,Food & Drink
DEBIT PURCHASE Zara Quarterly box,,Shopping
HOSPITAL BILL $18.32 Medical visit,,Healthcare
Bass Pro Shops,,Shopping
United Airlines,Monthly transit,Transport
Alimony,공과금,Bills & Utilities
Junk Removal,,Housing
Hospital,Dental checkup,Healthcare
STATE FARM INS $49.53 Water bill,,Bills & Utilities
PHARMACY PURCHASE $610.63,,Healthcare
TARGET T-1402 PURCHASE Clothing,,Shopping
Robinhood,भुगतान,Income
Google Career Certificates,Practice exam,Education
Arby's,Cake,Food & Drink
Progressive,,Bills & Utilities
E-ZPass,,Transport
CARD 4827 PURCHASE Safeway,,Food & Drink
AMAZON.COM PURCHASE $301.13,,Shopping
Appliance Store,Monthly mortgage,Housing
UNIVERSITY TUITION $292.03 Degree program,,Education
First Aid,,Healthcare
SHELL OIL LOS ANGELES #4134,,Transport
Barnes & Noble,Audiobook,Entertainment
eBay,Online shopping,Shopping
DENTAL ASSOCIATES $1467.73 Medical,,Healthcare
Content subscription,Streaming subscription,Entertainment
County Tax,Monthly premium,Bills & Utilities
Data plan,factures,Bills & Utilities
UDEMY COURSE $157.33,,Education
UNIVERSITY TUITION $1762.40 Application fee,,Education
GOVERNMENT PAYMENT $153.29 Various,,Other
Rainforest Cafe,Takeout,Food & Drink
Vivid Seats,,Entertainment
Investment,دخل,Income
Smart Lock,Paint,Housing
Disability,수입,Income
Training Course,Course,Education
Rental Car,,Transport
DELTA AIR LINES $690.73 Airport lounge,,Transport
BOOK STORE $125.49 Online course,,Education
Vocational Training,教育,Education
RENT PAYMENT $621.56 Repair,,Housing
Lab work,,Healthcare
Electrical,Lease payment,Housing
AMC THEATRES CHICAGO $123.03,,Entertainment
Shein,Ring,Shopping
Capital Gains,Stock dividend,Income
Red Cross,Gift card purchase,Other
ACH CREDIT Bank of America Stock dividend,,Income
Piano Lessons,,Education
DENTAL ASSOCIATES $1059.27,,Healthcare
KAISER PERMANENTE $880.19,,Healthcare
AUTOPAY VERIZON WIRELESS $280.17 Auto-pay,,Bills & Utilities
Casino, various,Other
Air France,flugzeug,Transport
Counseling Center,Extraction,Healthcare
QUEST DIAGNOSTICS $739.29,,Healthcare
SHELL OIL SINGAPORE #6884,,Transport
Vitamins,医院,Healthcare
PG&E ELECTRIC $73.50,,Bills & Utilities
Target,,Shopping
Fidelity,,Income
Smart Lock,Smart home,Housing
Souplantation STORE #3366 PURCHASE Seafood,,Food & Drink
SCHOOL PAYMENT $812.68 Workshop,,Education
Pret A Manger,Buffet,Food & Drink
Kaiser Permanente,Vitamins,Healthcare
Prize Money,Online sale,Income
Etsy,Wedding gift,Shopping
Restoration Hardware,商店,Shopping
Rental Car,Parking daily,Transport
Biryani Palace,Family meal,Food & Drink
Azure Certification,escola,Education
USPS POSTAGE $78.27,,Other
Arby's STORE #9043 PURCHASE Food,,Food & Drink
Caffe Nero SUBSCRIPTION RENEWAL,,Food & Drink
WAL-MART SUPERCENTER #5587 Ring,,Shopping
Etsy,Handmade items,Shopping
Craft supplies,Series,Entertainment
DataCamp,книги,Education
HOME DEPOT.COM $1990.67,,Housing
Vivint,Annual premium,Bills & Utilities
PARKING TOKYO $687.02,,Transport
PG&E ELECTRIC $98.48,,Bills & Utilities
Therapy Session,चिकित्सा,Healthcare
Escape Room,Pedicure,Entertainment
DIVIDEND SQUA $9347.22 Licensing,,Income
LOWES #8810 $2632.23,,Housing
Card Game,Live music,Entertainment
CVS PHARMACY #2867 $320.41,,Healthcare
POS PURCHASE Noodle Shop SAO PAULO,,Food & Drink
Cleveland Clinic,Dental work,Healthcare
Chili's,Iced Coffee,Food & Drink
COMCAST CABLE $29.58,,Bills & Utilities
Macy's,roupas,Shopping
METRO TRANSIT $189.94 Parking daily,,Transport
KAISER PERMANENTE $247.60 Supplement,,Healthcare
PLURALSIGHT $455.20 Coding bootcamp,,Education
Realtor.com,Property tax,Housing
Extra Space,,Housing
Federal Refund,Points redemption,Income
Popeyes,Delivery,Food & Drink
Apple,Gift,Shopping
QUEST DIAGNOSTICS $886.37,,Healthcare
Burlington,कपड़े,Shopping
Discovery+,,Entertainment
IRS TREAS 310 TAX REF Rental property,,Income
NIKE.COM ORDER PURCHASE Sports equipment,,Shopping
PLAYSTATION STORE $58.66,,Entertainment
Allstate,Broadband,Bills & Utilities
CompTIA,Data science course,Education
Roadside Assistance,Parking daily,Transport
UPS SHIPPING $6.41,,Other
Doctor,Counseling,Healthcare
Comcast,Family plan,Bills & Utilities
Western Union,,Other
SoundCloud,DLC,Entertainment
Board Game Cafe,음악,Entertainment
Etsy,Donation received,Income
RECURRING PAYMENT State Farm Installation fee,,Bills & Utilities
USPS POSTAGE $152.21 Consultation,,Other
Puma,Speaker,Shopping
Bath & Body Works,가게,Shopping
GOVERNMENT PAYMENT $5.13 ATM,,Other
HOA Payment,Property tax,Housing
GMAT Prep,,Education
Ola,,Transport
PURCHASE AUTHORIZED Coffee Shop $62.07,,Food & Drink
Marketplace Order,Retail,Shopping
DEBIT PURCHASE Etsy Cable,,Shopping
Nightclub,jogos,Entertainment
DEBIT CARD PURCHASE Longhorn Steakhouse Wine,,Food & Drink
Cleaning Service,Home insurance,Housing
Charity,その他,Other
COMCAST CABLE $137.10,,Bills & Utilities
Waste Management,Electric bill,Bills & Utilities
HOSPITAL BILL $155.41,,Healthcare
DEBIT PURCHASE Dollar General,,Shopping
Mental Health,,Healthcare
Coffee Shop,,Food & Drink
DIVIDEND FREE $4751.79 Gig payment,,Income
Thai Basil,Snack,Food & Drink
PHARMACY PURCHASE $784.46,,Healthcare
Phone Bill,,Bills & Utilities
METRO TRANSIT $699.33,,Transport
Childcare,Other,Other
Coursera,Lab fee,Education
Late Fee,Unknown,Other
DIRECT DEBIT Duke Energy $124.58,,Bills & Utilities
KAISER PERMANENTE $841.41,,Healthcare
LabCorp,Dental checkup,Healthcare
UDEMY COURSE $1193.63,,Education
Republic Services,बीमा,Bills & Utilities
Nykaa,Headphones,Shopping
School Supplies,Martial arts,Education
Del Taco,,Food & Drink
SKILLSHARE $237.03 Language class,,Education
TARGET T-3157 PURCHASE,,Shopping
HOA DUES $2285.93,,Housing
Mount Sinai,Medical,Healthcare
Card Game,entretenimiento,Entertainment
XBOX LIVE $17.76 Art show,,Entertainment
MEDICAL CENTER $815.03,,Healthcare
Test Prep,,Education
Cabela's,In-app purchase,Shopping
Black Cab,交通,Transport
DIRECT DEPOSIT PAYROLL $2622.49,,Income
Painting,घर,Housing
United Airlines,,Transport
GEICO PAYMENT $269.45 Installation fee,,Bills & Utilities
DEBIT PURCHASE Walmart Sandals,,Shopping
PG&E ELECTRIC $290.52 Service charge,,Bills & Utilities
Rental Income,Prize,Income
Zipcar,燃料,Transport
Cinemark,,Entertainment
Rainforest Cafe,Fries,Food & Drink
Diner,Breakfast,Food & Drink
Rental Income,,Income
DELTA AIR LINES $507.05,,Transport
Spin,Vehicle lease,Transport
Condo Fees,monthly charge,Bills & Utilities
POS PURCHASE The Cheesecake Factory LONDON Soda,,Food & Drink
BEST BUY #3504 HOUSTON,,Shopping
Extra Space,Monthly mortgage,Housing
PLURALSIGHT $1778.90,,Education
Bank Fee,ATM,Other
Upwork,,Income
