merchant,description,category
T-MOBILE AUTOPAY $161.68,,Bills & Utilities
Yellow Cab,,Transport
DENTAL ASSOCIATES $1107.47,,Healthcare
Radiology Associates,चिकित्सा,Healthcare
Art School,,Education
Airport,Oil change,Transport
RENT PAYMENT $2945.58 Lease payment,,Housing
POS PURCHASE Butcher Shop SEOUL,,Food & Drink
MORTGAGE PAYMENT $1545.26 Paint,,Housing
SCHOOL PAYMENT $1896.71 Guitar lesson,,Education
Tax Preparer,,Other
SPOTIFY USA $68.97,,Entertainment
Heartland Dental,Surgery,Healthcare
Grubhub Order,Fresh produce,Food & Drink
Toll,One way,Transport
Indian Railways,,Transport
Princeton Review,Textbook,Education
Aspen Dental,Lab results,Healthcare
Hulu,assinatura,Bills & Utilities
Netflix,Streaming subscription,Entertainment
Charles Schwab,Bonus,Income
T-MOBILE AUTOPAY $261.20,,Bills & Utilities
FlixBus,,Transport
Lease,Lawn mowing,Housing
Chevron,,Transport
Pizza,Pizza,Food & Drink
ONLINE ORDER Retail Purchase Quarterly box,,Shopping
Amazon Music,,Entertainment
Pho Hoa,Pasta,Food & Drink
FEDEx SHIPPING $62.75 Tax prep,,Other
Craigslist Housing,Home improvement,Housing
WALGREENS #9461 $961.32 Medical supplies,,Healthcare
QUEST DIAGNOSTICS $1354.54 Prescription,,Healthcare
Facebook Marketplace Housing,Appliance,Housing
DOORDASH *Olive Garden PURCHASE Birthday cake,,Food & Drink
Etsy,Shop earnings,Income
Five Below,إلكترونيات,Shopping
BEST BUY #5053 DUBAI,,Shopping
Cisco Learning,Spanish class,Education
STATE FARM INS $336.75 Utility bill,,Bills & Utilities
STEAM PURCHASE $7.97,,Entertainment
Steam,Live show,Entertainment
IRCTC,Train ticket,Transport
Dairy Queen,Holiday dinner,Food & Drink
DIRECT DEBIT Health Insurance $161.53,,Bills & Utilities
Board Game Cafe,DLC,Entertainment
Pool Service,Vacation rental,Housing
GRE Prep,Course,Education
UDEMY COURSE $1326.38,,Education
AUTOPAY VERIZON WIRELESS $167.48,,Bills & Utilities
HOA DUES $1638.01,,Housing
RECURRING PAYMENT Netflix Finance charge,,Bills & Utilities
Rental Income,استرداد,Income
DOORDASH *Tesco PURCHASE,,Food & Drink
BJ's Wholesale,服装,Shopping
DEBIT PURCHASE Dollar General,,Shopping
BEST BUY #2227 SAO PAULO,,Shopping
AliExpress,Microtransaction,Shopping
Souplantation,Salad,Food & Drink
Bowling,,Entertainment
Vocational Training,Textbook,Education
Cisco Learning,Workshop,Education
QUEST DIAGNOSTICS $1439.92,,Healthcare
PAYPAL TRANSFER $3965.93,,Income
Longhorn Steakhouse,Date night,Food & Drink
CHEGG STUDY $1988.29 Books,,Education
Hulu,Film,Entertainment
CareNow,,Healthcare
T-MOBILE AUTOPAY $268.68 Family plan,,Bills & Utilities
MORTGAGE PAYMENT $2499.86 Lawn mowing,,Housing
PG&E ELECTRIC $335.32,,Bills & Utilities
Gym Membership,,Bills & Utilities
Public Storage,,Housing
APPLE STORE PURCHASE $83.53 Holiday gift,,Shopping
BANK FEE $123.28 Fine payment,,Other
STATE TREASURY REFUND Sublease,,Income
Mount Sinai,,Healthcare
PG&E ELECTRIC $330.53 Broadband,,Bills & Utilities
FiOS,Subscription,Bills & Utilities
NETFLIX.COM $167.92,,Entertainment
Pet Emergency,Imaging,Healthcare
Government,सामान्य,Other
PHARMACY PURCHASE $361.75,,Healthcare
GOVERNMENT PAYMENT $170.89,,Other
DEBIT CARD PURCHASE Safeway,,Food & Drink
TARGET T-2311 PURCHASE Sunglasses,,Shopping
Tax Preparer,diversos,Other
Skillshare,,Education
ONLINE PURCHASE Tea House.COM,,Food & Drink
Red Lobster,점심,Food & Drink
VENMO CASHOUT $8744.17,,Income
Late Fee,Wire,Other
MEDICAL CENTER $1408.67 Diabetic supplies,,Healthcare
PARKING TOKYO $704.98 Annual pass,,Transport
USPS POSTAGE $80.42 Transfer,,Other
AMC THEATRES TORONTO $183.40 Game night,,Entertainment
Imaging Center,Medicine,Healthcare
Cleaning Service,hogar,Housing
Amazon Locker,अन्य,Other
GCP Training,,Education
RENT PAYMENT $2479.10,,Housing
STEAM PURCHASE $11.48,,Entertainment
Papa John's,Water,Food & Drink
West End,Pay-per-view,Entertainment
Charles Schwab,Award,Income
PG&E ELECTRIC $21.37,,Bills & Utilities
AUTOPAY VERIZON WIRELESS $63.08,,Bills & Utilities
HOME DEPOT.COM $2590.80 Security,,Housing
Landscaping,,Housing
Cleaning Service,Home insurance,Housing
Qdoba,Weekly groceries,Food & Drink
AT&T Store,Watch,Shopping
U-Haul,Airbnb stay,Housing
Barnes & Noble,jogos,Entertainment
Salvation Army,Postage,Other
Tax Payment,مرافق,Bills & Utilities
Denny's,Late night snack,Food & Drink
UPS SHIPPING $161.39,,Other
SCHOOL PAYMENT $933.85,,Education
ONLINE PURCHASE Dutch Bros.COM,,Food & Drink
Lime,Bus fare,Transport
VENMO CASHOUT $6307.71 Insurance payout,,Income
BANK FEE $157.55,,Other
Commission,Cash back reward,Income
XBOX LIVE $24.34 Premium subscription,,Entertainment
Property Management Co.,,Housing
Blood test,gesundheit,Healthcare
H&M,Phone case,Shopping
Condo Fees,versorgung,Bills & Utilities
Angi,Flooring,Housing
CVS PHARMACY #3678 $619.59 Medical bill,,Healthcare
City Bus,택시,Transport
Walmart Pharmacy,COVID vaccine,Healthcare
Home Insurance,Wireless service,Bills & Utilities
PURCHASE AUTHORIZED Bakery $69.80,,Food & Drink
Lawn Care,Renovation,Housing
GRE Prep,Online course,Education
Insomnia Cookies STORE #8039 PURCHASE Groceries,,Food & Drink
POS PURCHASE KFC TOKYO,,Food & Drink
LSAT Prep,,Education
UPS SHIPPING $149.95,,Other
PHARMACY PURCHASE $430.44 Blood work,,Healthcare
UBER EATS *Walmart PURCHASE,,Food & Drink
Xfinity,サブスクリプション,Bills & Utilities
Qatar Airways,Checked bag,Transport
Safeway,Salad,Food & Drink
Air France,وقود,Transport
Redfin,住宅,Housing
DIVIDEND BANK $4621.65 Monthly salary,,Income
AUTOPAY VERIZON WIRELESS $210.70,,Bills & Utilities
Nintendo Online,DLC,Entertainment
Pet Store,Handling,Other
Marco's Pizza,,Food & Drink
Facebook Marketplace,vivienda,Housing
DELTA AIR LINES $61.38 Taxi,,Transport
Crutches,Pet medication,Healthcare
PLAYSTATION STORE $68.63 Music streaming,,Entertainment
RENT PAYMENT $1208.81 Property tax,,Housing
SPOTIFY USA $163.05 Movie ticket,,Entertainment
QUEST DIAGNOSTICS $1358.00,,Healthcare
Health Center,طبي,Healthcare
BANK FEE $104.52,,Other
PROPERTY TAX $2205.43 Rent,,Housing
Vivid Seats,Movie ticket,Entertainment
Pharmacy,,Healthcare
Self Storage,ATM,Other
ONLINE ORDER Bloomingdale's,,Shopping
Flipkart,Retail,Shopping
AAA,,Transport
Festival pass,Museum visit,Entertainment
AWS Training,Swimming lesson,Education
Paycheck,Rental property,Income
IRS TREAS 310 TAX REF Cash back reward,,Income
Home Warranty,ипотека,Housing
National Grid,Broadband,Bills & Utilities
Social Security,付款,Income
MISC PURCHASE $159.13 Infraction,,Other
Alliance Française,Course,Education
Ulta Beauty,Toddler,Shopping
PAYPAL TRANSFER $1744.02,,Income
Mercado Libre,,Shopping
UNIVERSITY TUITION $825.05,,Education
Laundromat,Unit rental,Other
Pottery Barn,дом,Shopping
Notary,sonstiges,Other
UPS SHIPPING $182.17,,Other
BEST BUY #4081 MUMBAI Game purchase,,Shopping
Appliance Store,Roofing,Housing
Side Gig,reembolso,Income
GEICO PAYMENT $30.50,,Bills & Utilities
PG&E ELECTRIC $31.94,,Bills & Utilities
Physical Therapy,स्वास्थ्य,Healthcare
Freelance Client,ingresos,Income
TARGET T-3511 PURCHASE,,Shopping
E-ZPass,Oil change,Transport
Bonus Payment,Capital gains,Income
IRS TREAS 310 TAX REF Points redemption,,Income
TICKETMASTER $135.83,,Entertainment
HBO Max,monthly charge,Bills & Utilities
Live Nation,엔터테인먼트,Entertainment
Game Ticket,musik,Entertainment
Greyhound,taxi,Transport
Raising Cane's,,Food & Drink
CompTIA,,Education
PROPERTY TAX $2327.40,,Housing
GEICO PAYMENT $292.89 Recurring charge,,Bills & Utilities
Metro,यात्रा,Transport
Vanguard,Annual tax refund,Income
Surgery,병원,Healthcare
Piano Lessons,escola,Education
Emergency room,medizinisch,Healthcare
Cava,Business lunch,Food & Drink
HOSPITAL BILL $1376.47,,Healthcare
COMCAST CABLE $283.77 Broadband,,Bills & Utilities
Casino,Museum visit,Entertainment
SKILLSHARE $941.82,,Education
WESTERN UNION $5.97,,Other
Cisco Learning,Textbook,Education
Hulu,,Bills & Utilities
CARD 4834 PURCHASE Buffalo Wild Wings Catering order,,Food & Drink
PURCHASE AUTHORIZED Noodle Shop $35.20 Tea,,Food & Drink
CompTIA,школа,Education
PLAYSTATION STORE $83.93,,Entertainment
Casino,,Other
Under Armour,покупки,Shopping
WESTERN UNION $61.12 Daily purchase,,Other
Medical Center,Blood work,Healthcare
Gusto Payroll,Donation received,Income
WAL-MART SUPERCENTER #7641,,Shopping
HOSPITAL BILL $1056.64,,Healthcare
Disability,,Income
Texas Roadhouse,저녁,Food & Drink
Settlement,भुगतान,Income
COMCAST CABLE $48.87 Service fee,,Bills & Utilities
GoFundMe,Daily purchase,Other
BANK FEE $56.53 Gift card purchase,,Other
OB/GYN,dentiste,Healthcare
University,Data science course,Education
PARKING CHICAGO $27.26,,Transport
Transit Pass,Charging,Transport
Dermatologist,Medical visit,Healthcare
freeCodeCamp,Piano lesson,Education
Flatiron School,Test preparation,Education
STEAM PURCHASE $21.34,,Entertainment
Lyft,Detailing,Transport
Freelance Client,,Income
Ride Share,Monthly transit,Transport
D&D Session,Expansion,Entertainment
Cleveland Clinic,pharmacie,Healthcare
Sonic,,Food & Drink
Vanguard,State refund,Income
GOVERNMENT PAYMENT $113.01,,Other
Vivint,Electric bill,Bills & Utilities
XBOX LIVE $68.29,,Entertainment
Freelance Payment,Coaching,Income
Supplement,Vaccination,Healthcare
UNITED AIRLINES $623.00,,Transport
PARKING SINGAPORE $768.98,,Transport
TICKETMASTER $55.77,,Entertainment
USPS POSTAGE $103.80,,Other
GOVERNMENT PAYMENT $21.18,,Other
Security System,Moving,Housing
Discovery+,Pay-per-view,Entertainment
PARKING SINGAPORE $648.16 Regular gas,,Transport
Mattress Store,Airbnb stay,Housing
Coursera,libros,Education
LIVE NATION $72.77 Theme park,,Entertainment
PLURALSIGHT $1837.37,,Education
Bond Maturity,返金,Income
DELTA AIR LINES $89.85 Bus fare,,Transport
DELTA AIR LINES $583.42 Round trip,,Transport
Macy's,Clothing,Shopping
Facebook Marketplace,reparación,Housing
Spectrum,구독,Bills & Utilities
Pho Hoa,음식,Food & Drink
West End,Fair,Entertainment
Chipotle,,Food & Drink
Cash App,Donation received,Income
GCP Training,libros,Education
DELTA AIR LINES $149.53 Inspection,,Transport
DEBIT CARD PURCHASE Hardee's,,Food & Drink
PetSmart,Birthday gift,Shopping
Lufthansa,Taxi,Transport
Notary,,Other
Storage,,Other
COMCAST CABLE $249.27 Cloud storage,,Bills & Utilities
EA Play,Museum visit,Entertainment
USPS POSTAGE $84.11 Kennel,,Other
Babbel,,Entertainment
Sears Optical,Physical exam,Healthcare
APPLE STORE PURCHASE $224.34 Shoes,,Shopping
Google Career Certificates,,Education
Coursera,Yoga class,Education
In-N-Out Burger,Brunch,Food & Drink
STATE TREASURY REFUND Cash back reward,,Income
Kate Spade,Home decor,Shopping
Duke Energy,Convenience fee,Bills & Utilities
PG&E,,Bills & Utilities
Airbnb,Paint,Housing
PAYPAL TRANSFER $4382.57 Bond interest,,Income
Moe's Southwest Grill,Lunch,Food & Drink
Go-Karts,موسيقى,Entertainment
COURSERA PURCHASE $358.67,,Education
Upwork,,Income
MAINTENANCE Pool Service $2875.47,,Housing
Bath & Body Works,Home decor,Shopping
Juice Bar,,Food & Drink
Cleveland Clinic,Braces,Healthcare
FEDEx SHIPPING $122.29,,Other
BJ's Wholesale,Online shopping,Shopping
Uber,ईंधन,Transport
FiOS,,Bills & Utilities
UNIVERSITY TUITION $1572.97,,Education
DIRECT DEBIT Frontier Communications $64.84,,Bills & Utilities
DIRECT DEPOSIT PAYROLL $8589.33,,Income
METRO TRANSIT $564.96,,Transport
DEBIT PURCHASE Adidas,,Shopping
Test Prep,Lifetime access,Education
Noodle Shop,Deli order,Food & Drink
MISC PURCHASE $199.85,,Other
Tailor,Certification,Other
SHELL OIL MUMBAI #8368 Car rental,,Transport
POS PURCHASE Noodle Shop SAO PAULO,,Food & Drink
Charity,,Other
Retail Purchase,Phone case,Shopping
DENTAL ASSOCIATES $740.08 Wellness visit,,Healthcare
AMC THEATRES SINGAPORE $145.15 Comedy show,,Entertainment
Medical equipment,,Healthcare
School Supplies,образование,Education
Language School,学校,Education
Theme Park,Spa treatment,Entertainment
Singapore Airlines,combustível,Transport
CenturyLink,,Bills & Utilities
Health insurance copay,दंत चिकित्सक,Healthcare
Prepaid plan,Overdue payment,Bills & Utilities
Phone plan,Overdue payment,Bills & Utilities
Paramount+,Podcast,Entertainment
LYFT RIDES $173.12,,Transport
The Halal Guys,咖啡,Food & Drink
Venmo,Sublease,Income
Wendy's,Lunch,Food & Drink
Disney+,DLC,Entertainment
COURSERA PURCHASE $1762.76,,Education
LIVE NATION $78.75,,Entertainment
TARGET T-2030 PURCHASE Beauty products,,Shopping
Planet Fitness,Installation fee,Bills & Utilities
Kaiser Permanente,Hospital stay,Healthcare
OB/GYN,zahnarzt,Healthcare
YouTube Music,Music streaming,Entertainment
Grooming,Replacement,Other
UDEMY COURSE $1250.24 Tuition payment,,Education
ONLINE PURCHASE IHOP.COM Burrito,,Food & Drink
DIVIDEND WOOC $7256.56,,Income
Shell,Parking weekly,Transport
Training Course,교육,Education
Women's Health Center,,Healthcare
DIVIDEND RENT $5191.04,,Income
EVgo,Metro pass,Transport
CVS PHARMACY #1506 $1002.89,,Healthcare
Ticketmaster,,Entertainment
Cedars-Sinai,Urgent care,Healthcare
WAL-MART SUPERCENTER #7393,,Shopping
PAYPAL TRANSFER $9121.35 Commission,,Income
Rite Aid,hospital,Healthcare
Smart Lock,Pest control,Housing
Betting,unterhaltung,Entertainment
HP,,Shopping
Bath & Body Works,,Shopping
Wire Transfer Fee,その他,Other
AUTOPAY VERIZON WIRELESS $196.25 Direct debit,,Bills & Utilities
Test Prep,교육,Education
CVS,Jeans,Shopping
DEBIT PURCHASE Bloomingdale's Phone case,,Shopping
Brilliant,大学,Education
DIRECT DEPOSIT PAYROLL $595.35 Tax refund,,Income
Starbucks,Espresso,Food & Drink
Skillsoft,escuela,Education
KAISER PERMANENTE $113.82 Root canal,,Healthcare
Coursera,Swimming lesson,Education
MEDICAL CENTER $1426.70,,Healthcare
BP Pulse,Brake pads,Transport
ATM Fee,Daily purchase,Other
Golden Corral,almuerzo,Food & Drink
Flower Shop,Daycare,Other
U-Haul,hipoteca,Housing
BEST BUY #1890 LOS ANGELES,,Shopping
ONLINE ORDER Sephora Cable,,Shopping
Pizza Place,mittagessen,Food & Drink
Nightclub,سينما,Entertainment
Home Depot,,Housing
Pay-per-view,juegos,Entertainment
HOME DEPOT #5526 $851.72,,Housing
Domino's,Pizza delivery,Food & Drink
Medical equipment,hôpital,Healthcare
RENT PAYMENT $908.40,,Housing
RENT PAYMENT $822.89 Plumber,,Housing
DMV,Daily purchase,Other
KAISER PERMANENTE $1147.08,,Healthcare
Adidas,衣類,Shopping
Broadway,ストリーミング,Entertainment
VENMO CASHOUT $4030.37 Claim settlement,,Income
Prepaid Card,,Other
Royalty Payment,Side hustle,Income
WAL-MART SUPERCENTER #6234,,Shopping
SHELL OIL CHICAGO #1815,,Transport
Surgery,फार्मेसी,Healthcare
Genki Sushi,Snack,Food & Drink
USPS POSTAGE $196.81,,Other
CHEGG STUDY $1136.81,,Education
Biryani Palace,Catering order,Food & Drink
Convenience Fee,,Other
DELTA AIR LINES $50.28,,Transport
Disability,수입,Income
Ulta Beauty,,Shopping
Government,Daily purchase,Other
KAISER PERMANENTE $247.60 Supplement,,Healthcare
Refund,Freelance work,Income
UBER EATS *Chick-fil-A PURCHASE,,Food & Drink
Ambulance,LASIK,Healthcare
Buffalo Wild Wings,Cake,Food & Drink
CVS PHARMACY #3287 $422.84 Doctor visit,,Healthcare
Apple,Gift,Shopping
MISC PURCHASE $75.38,,Other
UNITED AIRLINES $455.82 Annual pass,,Transport
GoFundMe,Damage payment,Other
AMAZON.COM PURCHASE $432.64 Beauty products,,Shopping
Adidas,,Shopping
Ramen Ichiran,किराने का सामान,Food & Drink
Facebook Marketplace Housing,,Housing
BOOK STORE $214.78,,Education
Bun Bo Hue,Afternoon tea,Food & Drink
Legal Services,Legal fee,Other
Transit Authority,ईंधन,Transport
UPS SHIPPING $9.38,,Other
Royalty Payment,,Income
Udemy,Scholarship,Education
STATE TREASURY REFUND Side hustle,,Income
DEBIT CARD PURCHASE Bun Bo Hue Milkshake,,Food & Drink
Town Hall,Miscellaneous,Other
General Assembly,Language learning,Education
Ring Doorbell,Monthly rent,Housing
GEICO PAYMENT $231.92 Gas bill,,Bills & Utilities
WALGREENS #9561 $1329.35,,Healthcare
JetBlue,,Transport
TICKETMASTER $164.32 Premium subscription,,Entertainment
TARGET T-1982 PURCHASE,,Shopping
BlaBlaCar,Highway toll,Transport
Denny's,Beer,Food & Drink
Chili's,Family meal,Food & Drink
GEICO PAYMENT $107.04 Finance charge,,Bills & Utilities
UBER *TRIP $532.95 Gas,,Transport
Texas Roadhouse,Quick bite,Food & Drink
Con Edison,Wireless service,Bills & Utilities
Lottery Winnings,devolución,Income
Freelancer.com,reembolso,Income
Storage,一般,Other
DHL,Other,Other
LOWES #1785 $2204.20,,Housing
PHARMACY PURCHASE $1230.10,,Healthcare
Facebook Marketplace,Packing,Housing
Seminar,Cooking class,Education
Publix STORE #4614 PURCHASE,,Food & Drink
Consulting Fee,,Income
Life Coach,,Healthcare
E-ZPass,Fuel,Transport
AT&T,monthly charge,Bills & Utilities
T-Mobile Store,Charger,Shopping
CHEGG STUDY $527.56 Language learning,,Education
Landscaping,Lease payment,Housing
Ecobee,Monthly mortgage,Housing
BANK FEE $23.51,,Other
Lyft,Monthly transit,Transport
CARD 5443 PURCHASE Publix Sushi,,Food & Drink
Raising Cane's,Afternoon tea,Food & Drink
Nykaa,ショッピング,Shopping
MEDICAL CENTER $68.41,,Healthcare
AUTOPAY VERIZON WIRELESS $114.39,,Bills & Utilities
Continuing Education,Study material,Education
Yard Sale,वेतन,Income
Uber,Ride share,Transport
Microsoft 365,Phone bill,Bills & Utilities
Home Security,Internet,Bills & Utilities
MAINTENANCE Ace Hardware $2909.17 Plumber,,Housing
EXXON MOBIL #8043 Gas,,Transport
Sale Proceeds,Refund,Income
UNIVERSITY TUITION $587.59,,Education
Netflix,Wellness subscription,Entertainment
Rail Europe,Oil change,Transport
VENMO CASHOUT $7317.81,,Income
CT scan,X-ray,Healthcare
BANK FEE $183.05 Dry cleaning,,Other
Papa Murphy's,обед,Food & Drink
DENTAL ASSOCIATES $695.26,,Healthcare
FEDEx SHIPPING $166.15,,Other
Lease Payment,Bus fare,Transport
HOME DEPOT #4709 $2725.03,,Housing
Season Pass,Expansion,Entertainment
METRO TRANSIT $403.12,,Transport
Baggage Fee,Airport lounge,Transport
Valet Parking,Registration,Transport
Butcher Shop,Bowl,Food & Drink
Caffe Nero SUBSCRIPTION RENEWAL,,Food & Drink
Zelle,راتب,Income
HVAC,hogar,Housing
Card Game,Season pass,Entertainment
United Airlines,In-flight meal,Transport
NIKE.COM ORDER PURCHASE School supplies,,Shopping
Seminar,Enrollment,Education
Retainer,환급,Income
STOCK SALE ROYA $2287.84 Gig payment,,Income
STEAM PURCHASE $13.42,,Entertainment
Charter,보험,Bills & Utilities
AT&T,Interest charge,Bills & Utilities
MISC PURCHASE $46.43,,Other
MORTGAGE PAYMENT $1070.64,,Housing
CHEGG STUDY $314.60,,Education
UBER *TRIP $732.88,,Transport
Princeton Review,Spanish class,Education
POS PURCHASE McDonald's NEW YORK,,Food & Drink
Karaoke,Fair,Entertainment
MAINTENANCE Flooring $1804.15 Monthly rent,,Housing
HOA DUES $1960.95,,Housing
Yoga Studio,,Bills & Utilities
NETFLIX.COM $75.37 Gym membership,,Entertainment
DELTA AIR LINES $429.08,,Transport
Handyman,رهن عقاري,Housing
Apple,Keyboard,Shopping
Pret A Manger,,Food & Drink
Subway STORE #5922 PURCHASE,,Food & Drink
RECURRING PAYMENT Ring,,Bills & Utilities
Broadway,Theme park,Entertainment
Laundromat,Miscellaneous,Other
Property Tax,Moving,Housing
WAL-MART SUPERCENTER #7385 Subscription box,,Shopping
Rite Aid,Ring,Shopping
METRO TRANSIT $91.94,,Transport
Michaels,vêtements,Shopping
Prize Money,Airbnb income,Income
Qdoba,dîner,Food & Drink
WAL-MART SUPERCENTER #6073,,Shopping
RENT PAYMENT $1944.19,,Housing
Chanel,Sports equipment,Shopping
Employer Inc.,revenu,Income
Certification Program,本,Education
NETFLIX.COM $194.60 Meditation app,,Entertainment
Voucher,Storage rental,Other
DMV,Transfer,Other
LIVE NATION $185.28 Gym membership,,Entertainment
PG&E ELECTRIC $35.60,,Bills & Utilities
MEDICAL CENTER $1212.13,,Healthcare
FEDEx SHIPPING $96.09,,Other
Sweetgreen,Dinner,Food & Drink
JOANN,electrónica,Shopping
Department Store,Belt,Shopping
RENT PAYMENT $1957.08,,Housing
Thai Basil,Salad,Food & Drink
SCHOOL PAYMENT $892.40,,Education
AUTOPAY VERIZON WIRELESS $106.58,,Bills & Utilities
Popeyes,Business lunch,Food & Drink
Ophthalmologist,,Healthcare
PROPERTY TAX $1618.13,,Housing
UNITED AIRLINES $339.29 Uber,,Transport
TICKETMASTER $41.55,,Entertainment
Sewer District,Security system,Bills & Utilities
CARD 3959 PURCHASE Arby's,,Food & Drink
CHEGG STUDY $1909.19,,Education
Content subscription,E-book,Entertainment
Kaiser Permanente,医院,Healthcare
ATM WITHDRAWAL FEE Delivery,,Other
Zara,compras,Shopping
ATM WITHDRAWAL FEE Laundry,,Other
Stock Sale,Part-time work,Income
Dollar General,电子产品,Shopping
Zillow,Home insurance,Housing
USPS POSTAGE $105.98 ATM,,Other
Michaels,Birthday gift,Shopping
Nightclub,Live music,Entertainment
APPLE STORE PURCHASE $272.63 Printer,,Shopping
Refund,IRS refund,Income
PAYPAL TRANSFER $8690.24,,Income
Dry Cleaners,прочее,Other
Kaiser Permanente,Doctor visit,Healthcare
Sweet Tomatoes,Quick bite,Food & Drink
Peet's Coffee,Sushi,Food & Drink
Electrify America,燃料,Transport
UPS SHIPPING $1.88 Donation,,Other
UNIVERSITY TUITION $1693.03 Application fee,,Education
JioMart,Birthday gift,Shopping
Taxi,Daily commute,Transport
USPS POSTAGE $6.25 Certification,,Other
Naan Stop,Dinner,Food & Drink
CARD 0637 PURCHASE Caffe Nero,,Food & Drink
Garage Sale,Royalties,Income
CT scan,طبي,Healthcare
MRI,Medical supplies,Healthcare
Ophthalmologist,Crown,Healthcare
P.O. Box,общее,Other
Coinbase,Stock dividend,Income
UDEMY COURSE $751.39 Learning,,Education
AUTOPAY VERIZON WIRELESS $169.18 monthly charge,,Bills & Utilities
PG&E ELECTRIC $122.40,,Bills & Utilities
COURSERA PURCHASE $1377.23 Dance class,,Education
KAISER PERMANENTE $404.16 Vitamins,,Healthcare
HOA DUES $2983.35,,Housing
MAINTENANCE Realtor.com $793.16,,Housing
Pharmacy,Prescription,Healthcare
FEDEx SHIPPING $69.65,,Other
HOA DUES $2794.86 Property tax,,Housing
Lufthansa,Car rental,Transport
FEDEx SHIPPING $10.70 Top-up,,Other
PARKING LOS ANGELES $710.23,,Transport
Merry Maids,Lease payment,Housing
AUTOPAY VERIZON WIRELESS $108.00,,Bills & Utilities
Facebook Marketplace,رهن عقاري,Housing
HP,Scarf,Shopping
PARKING SAO PAULO $458.62 Long distance ride,,Transport
Radio Cab,транспорт,Transport
DIVIDEND FEDE $7893.03,,Income
KAISER PERMANENTE $79.15,,Healthcare
Progressive,Service charge,Bills & Utilities
PROPERTY TAX $2384.77 Flooring,,Housing
UBER EATS *Insomnia Cookies PURCHASE Afternoon tea,,Food & Drink
LYFT RIDES $524.51,,Transport
MAINTENANCE Budget Truck $1600.37,,Housing
Apprenticeship,교육,Education
TNT,,Other
Bond Maturity,給与,Income
Rewards,Refund,Income
Home Warranty,,Housing
Ring,Late fee,Bills & Utilities
HOSPITAL BILL $1114.24,,Healthcare
QUEST DIAGNOSTICS $1282.54,,Healthcare
VENMO CASHOUT $3394.22 Holiday pay,,Income
Audible,ストリーミング,Entertainment
MIT OpenCourseWare,schule,Education
Crunchyroll,,Entertainment
Funimation,musik,Entertainment
Google Workspace,Service fee,Bills & Utilities
Spa Day,Museum visit,Entertainment
COURSERA PURCHASE $255.45 Dance class,,Education
LYFT RIDES $148.92,,Transport
El Pollo Loco,Deli order,Food & Drink
Hard Rock Cafe SUBSCRIPTION RENEWAL,,Food & Drink
Parking,,Transport
UBER *TRIP $427.61 Oil change,,Transport
Vanpool,Bridge toll,Transport
Sweetgreen,restaurant,Food & Drink
Landscaping,hypothek,Housing
LOWES #4481 $1976.76 Repair supplies,,Housing
Longhorn Steakhouse,Meal,Food & Drink
Sewer Bill,公用事业,Bills & Utilities
ADT,구독,Bills & Utilities
Textbook Store,Study material,Education
Community College,Learning,Education
FEDEx SHIPPING $82.25,,Other
Property Tax,,Bills & Utilities
RECURRING PAYMENT Gmail,,Bills & Utilities
CompTIA,Data science course,Education
Molly Maid,Flooring,Housing
PHARMACY PURCHASE $567.11,,Healthcare
Under Armour,Quarterly box,Shopping
FedEx,allgemein,Other
SPOTIFY USA $193.41,,Entertainment
ATM WITHDRAWAL FEE Damage payment,,Other
Freenow,飞机,Transport
Locksmith,Packing,Housing
Refund,付款,Income
KAISER PERMANENTE $349.71 Vaccination,,Healthcare
LIVE NATION $82.67 Wellness subscription,,Entertainment
Rebate,Claim settlement,Income
Gucci,Gloves,Shopping
SSDI,Rental income,Income
Service Charge,,Other
Penske,Maid service,Housing
Shake Shack SUBSCRIPTION RENEWAL Iced Coffee,,Food & Drink
Binance,,Income
Thrift Store,,Other
DHL,Penalty,Other
School Supplies,Study material,Education
BOOK STORE $1691.51 Technology fee,,Education
Applebee's SUBSCRIPTION RENEWAL Counter service,,Food & Drink
LIVE NATION $160.17,,Entertainment
Car Wash,First class,Transport
Content subscription,Fitness class,Entertainment
IRCTC,Regular gas,Transport
Burger King,Quick bite,Food & Drink
Mini Golf,Premium subscription,Entertainment
Disability,Bond interest,Income
E-commerce Purchase,kleidung,Shopping
FEDEx SHIPPING $138.33 Faxing,,Other
Nando's,Business lunch,Food & Drink
SimpliSafe,Fiber,Bills & Utilities
Electrical,抵押贷款,Housing
CHEGG STUDY $494.12 Practice exam,,Education
PG&E,اشتراك,Bills & Utilities
MEDICAL CENTER $86.97 Vitamins,,Healthcare
MORTGAGE PAYMENT $2431.48,,Housing
Wingstop,Groceries,Food & Drink
Walmart,Milkshake,Food & Drink
Bonus,erstattung,Income
SHELL OIL HOUSTON #2672,,Transport
Thumbtack,Packing,Housing
Golden Corral,Grocery run,Food & Drink
HomeGoods,가게,Shopping
GEICO PAYMENT $157.43 Service fee,,Bills & Utilities
Employer Payroll,Investment return,Income
Roofing,reparación,Housing
GOVERNMENT PAYMENT $153.29 Various,,Other
The Halal Guys,Date night,Food & Drink
Bass Pro Shops,電子機器,Shopping
Federal Refund,수입,Income
Cava,식료품,Food & Drink
Chick-fil-A,,Food & Drink
Fry's Electronics,ショッピング,Shopping
Continuing Education,Monthly subscription,Education
ER visit,Medical visit,Healthcare
